2016-08-31 13:27:58 INFO  DynamicJsonToCsvLineMapper:17 - in DynamicJsonToCsvLineMapper
2016-08-31 13:27:59 INFO  ClassPathXmlApplicationContext:513 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@1b00372: startup date [Wed Aug 31 13:27:59 IST 2016]; root of context hierarchy
2016-08-31 13:27:59 INFO  XmlBeanDefinitionReader:316 - Loading XML bean definitions from class path resource [applicationContext.xml]
2016-08-31 13:27:59 INFO  XmlBeanDefinitionReader:316 - Loading XML bean definitions from class path resource [jsontocsv-beans.xml]
2016-08-31 13:27:59 INFO  DefaultListableBeanFactory:746 - Overriding bean definition for bean 'jsonToCsvBatchJob': replacing [Generic bean: class [org.springframework.batch.core.configuration.xml.SimpleFlowFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Generic bean: class [org.springframework.batch.core.configuration.xml.JobParserJobFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
2016-08-31 13:27:59 INFO  PropertyPlaceholderConfigurer:172 - Loading properties file from class path resource [jsontocsv.properties]
2016-08-31 13:27:59 WARN  DefaultListableBeanFactory:739 - Overriding user-defined bean definition for bean 'jsonToCsvFlatFileItemReader with a framework-generated bean definition ': replacing [Generic bean: class [org.springframework.batch.item.file.FlatFileItemReader]; scope=step; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=false; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in class path resource [jsontocsv-beans.xml]] with [Root bean: class [org.springframework.aop.scope.ScopedProxyFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in BeanDefinition defined in class path resource [jsontocsv-beans.xml]]
2016-08-31 13:27:59 WARN  DefaultListableBeanFactory:739 - Overriding user-defined bean definition for bean 'jsonToCsvFlatFileItemWriter with a framework-generated bean definition ': replacing [Generic bean: class [org.springframework.batch.item.file.FlatFileItemWriter]; scope=step; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=false; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in class path resource [jsontocsv-beans.xml]] with [Root bean: class [org.springframework.aop.scope.ScopedProxyFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in BeanDefinition defined in class path resource [jsontocsv-beans.xml]]
2016-08-31 13:28:00 INFO  SimpleJobLauncher:194 - No TaskExecutor has been set, defaulting to synchronous executor.
2016-08-31 13:28:00 INFO  SimpleJobLauncher:132 - Job: [FlowJob: [name=jsonToCsvBatchJob]] launched with the following parameters: [{outputPath=C:\Users\pratibha.ghorpade\FileConversion\file.TXT, outputHeaders=modified1,identifier1,brandNew,test, outputFieldSeperator=,, inputPath=C:\Users\pratibha.ghorpade\FileConversion\file.json.formatted}]
2016-08-31 13:28:00 INFO  SimpleStepHandler:139 - Executing step: [jsonToCsvBatchStepId]
2016-08-31 13:28:00 INFO  SimpleJobLauncher:135 - Job: [FlowJob: [name=jsonToCsvBatchJob]] completed with the following parameters: [{outputPath=C:\Users\pratibha.ghorpade\FileConversion\file.TXT, outputHeaders=modified1,identifier1,brandNew,test, outputFieldSeperator=,, inputPath=C:\Users\pratibha.ghorpade\FileConversion\file.json.formatted}] and the following status: [COMPLETED]
2016-08-31 13:28:00 INFO  ClassPathXmlApplicationContext:873 - Closing org.springframework.context.support.ClassPathXmlApplicationContext@1b00372: startup date [Wed Aug 31 13:27:59 IST 2016]; root of context hierarchy
